,product,symbol,open,high,low,close,volume,date
0,Q2 Platform,QTWO,32.1,32.15,31.4,31.75,237618,2017-01-31
1,Q2 Platform,QTWO,31.85,32.0631,31.25,31.45,172496,2017-02-01
2,Q2 Platform,QTWO,31.35,31.55,30.65,30.75,138075,2017-02-02
3,Q2 Platform,QTWO,30.95,31.95,30.75,31.85,156176,2017-02-03
4,Q2 Platform,QTWO,31.7,32.125,31.25,32.1,168076,2017-02-06
5,Q2 Platform,QTWO,32.2,32.6,31.95,32.35,193944,2017-02-07
6,Q2 Platform,QTWO,32.25,32.25,31.45,31.5,235227,2017-02-08
7,Q2 Platform,QTWO,31.4,32.35,31.35,32.05,116354,2017-02-09
8,Q2 Platform,QTWO,32.25,32.5,31.85,32.1,118541,2017-02-10
9,Q2 Platform,QTWO,32.35,32.4,31.55,31.9,148023,2017-02-13
10,Q2 Platform,QTWO,31.8,32.05,31.3,31.8,194904,2017-02-14
11,Q2 Platform,QTWO,31.8,33.2,31.4,32.9,405550,2017-02-15
12,Q2 Platform,QTWO,32.15,36.5,31.925,35.65,866533,2017-02-16
13,Q2 Platform,QTWO,35.7,36.15,35.15,36.0,463419,2017-02-17
14,Q2 Platform,QTWO,35.7,36.05,35.45,35.8,334848,2017-02-21
15,Q2 Platform,QTWO,35.7,36.45,35.7,36.15,466127,2017-02-22
16,Q2 Platform,QTWO,36.4,36.45,34.95,35.5,366648,2017-02-23
17,Q2 Platform,QTWO,34.75,36.2,34.55,35.95,325527,2017-02-24
18,Q2 Platform,QTWO,35.7,37.575,35.7,37.25,479029,2017-02-27
19,Q2 Platform,QTWO,36.7,37.2,35.9,35.95,437910,2017-02-28
20,Q2 Platform,QTWO,36.45,36.55,34.95,35.1,891764,2017-03-01
21,Q2 Platform,QTWO,34.9,35.55,34.9,35.25,321533,2017-03-02
22,Q2 Platform,QTWO,35.1,35.95,35.1,35.9,155579,2017-03-03
23,Q2 Platform,QTWO,35.75,35.8,34.7,35.3,185148,2017-03-06
24,Q2 Platform,QTWO,35.3,35.75,34.75,35.2,258974,2017-03-07
25,Q2 Platform,QTWO,35.35,35.6,35.2,35.4,159595,2017-03-08
26,Q2 Platform,QTWO,35.25,35.65,34.95,35.05,470724,2017-03-09
27,Q2 Platform,QTWO,35.25,35.5,34.55,35.2,516703,2017-03-10
28,Q2 Platform,QTWO,35.15,35.45,35.1,35.3,118290,2017-03-13
29,Q2 Platform,QTWO,35.15,35.2,34.5,35.15,168983,2017-03-14
30,Q2 Platform,QTWO,35.35,35.55,34.85,35.45,212970,2017-03-15
31,Q2 Platform,QTWO,35.6,35.6,35.0,35.35,178254,2017-03-16
32,Q2 Platform,QTWO,35.1,36.15,34.85,36.0,696349,2017-03-17
33,Q2 Platform,QTWO,36.15,36.45,35.35,35.8,265255,2017-03-20
34,Q2 Platform,QTWO,35.95,35.95,35.0,35.45,491567,2017-03-21
35,Q2 Platform,QTWO,35.4,35.65,34.5481,35.0,315621,2017-03-22
36,Q2 Platform,QTWO,34.95,35.1,34.75,35.1,220392,2017-03-23
37,Q2 Platform,QTWO,35.2,35.75,35.05,35.3,144925,2017-03-24
38,Q2 Platform,QTWO,34.85,35.975,34.6,35.85,311078,2017-03-27
39,Q2 Platform,QTWO,35.8,36.1,35.4,35.55,226627,2017-03-28
